type,country,region,lat,lon,price_usd,area_m2,floor,rooms,expenses,property_url
apartment,Argentina,Capital Federal,-34.5620844,-58.4566864,166000.0,52.0,,2.0,,http://belgrano.properati.com.ar/12tu6_venta_departamentos_belgrano_suite_parrilla_patio_piscina_toilette_amenities_placard_subte-linea-d_zuker-propiedades_dke
apartment,Argentina,Capital Federal,-34.648143,-58.524277,136500.0,71.0,,3.0,,http://liniers.properati.com.ar/11xwz_venta_departamentos_liniers_balcon_terraza_vestidor_luminoso_re-max-urbana
apartment,Argentina,Bs.As. G.B.A. Zona Sur,-34.920001,-57.981985,115000.0,71.0,,3.0,,http://la-plata.properati.com.ar/12dfb_venta_ph_la-plata_balcon_parrilla_terraza_garage_placard_re-max-diagonal-ii
house,Argentina,Bs.As. G.B.A. Zona Sur,-34.742476,-58.280261,86000.0,20.0,,3.0,,http://quilmes.properati.com.ar/12dga_venta_casa_quilmes_jardin_parrilla_patio_garage_re-max-sur
apartment,Argentina,Capital Federal,-34.596715,-58.444045,75000.0,36.0,,2.0,,http://villa-crespo.properati.com.ar/10auc_venta_departamentos_villa-crespo_luminoso_migliorisi-propiedades_cy0
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.5444356268,-58.553443858,130000.0,72.0,,,,http://san-martin.properati.com.ar/ea05_venta_departamento_san-martin
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6384209,-58.6885595,145000.0,120.0,,,,http://ituzaingo.properati.com.ar/nt1k_venta_casa_villa-ariza
house,Argentina,Bs.As. G.B.A. Zona Sur,-34.8079096263,-58.4026027513,350000.0,270.0,,4.0,,http://adrogue.properati.com.ar/11s0h_venta_casa_adrogue_suite_hidromasaje_jardin_lavadero_piscina_quincho_vestidor_vista_garage_placard_gazda-propiedades_cq0
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.5331327,-58.479013,138000.0,56.0,7.0,,,http://vicente-lopez-bs-as-g-b-a-zona-norte.properati.com.ar/uax1_venta_departamentos_vicente-lopez_jose-marmol_1500
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.3957896386,-58.7157411741,210000.0,200.0,,,,http://benavidez.properati.com.ar/wnwa_venta_casa_benavidez
apartment,Argentina,Capital Federal,-34.599722,-58.430668,68000.0,37.0,,2.0,,http://villa-crespo.properati.com.ar/yzjo_venta_departamentos_villa-crespo_balcon_lavadero_parrilla_sum_luminoso_lujoso_garage_amenities_aire-acondicionado_estrenar_re-max-vanguard
apartment,Argentina,Capital Federal,-34.6173479,-58.4494037,69000.0,2.0,4.0,1.0,,http://caballito.properati.com.ar/x553_venta_departamentos_caballito
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.4645841,-58.5155094,500000.0,335.0,,,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/xfad_venta_casa_san-isidro_avenida-del-libertador_16800
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4137408,-58.8468331,146870.0,81.0,,3.0,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/zsfg_venta_departamentos_pilar_balcon_baulera_suite_terraza_electrogeno_garage_aire-acondicionado_nucifora-propiedades_cro
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.536682,-58.507827,670000.0,350.0,,5.0,,http://florida.properati.com.ar/12s4g_venta_casa_florida_suite_jardin_lavadero_parrilla_piscina_quincho_toilette_vestidor_dependencias_garage_re-max-ayres-ii
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6441466,-58.6383497,380000.0,200.0,,,,http://castelar-moron.properati.com.ar/118d1_venta_casa_castelar_suite_jardin_lavadero_toilette_vestidor_luminoso_garage_eduardo-grania
apartment,Argentina,Capital Federal,-34.6153103,-58.3619834,412650.0,120.0,,3.0,,http://puerto-madero.properati.com.ar/12j5t_venta_departamentos_puerto-madero_toilette_le-bleu
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4430618,-58.5579643,88000.0,56.0,,3.0,1000.0,http://san-fernando-bs-as-g-b-a-zona-norte.properati.com.ar/11pjy_venta_departamentos_san-fernando_garage_amenities_inmobiliaria-pastura
apartment,Argentina,Capital Federal,-34.616182,-58.3926968,80000.0,55.0,,3.0,,http://san-cristobal.properati.com.ar/11de1_venta_departamentos_san-cristobal_luminoso_migliorisi-propiedades_cy1
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.46684,-58.5570443,640000.0,270.0,,5.0,5445.0,http://san-fernando-bs-as-g-b-a-zona-norte.properati.com.ar/1061w_venta_casa_san-fernando_baulera_suite_jardin_lavadero_piscina_toilette_vestidor_dependencias_garage_losa-radiante_narvaez-y-cia
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.5464029,-58.5452439,79000.0,60.0,,3.0,,http://villa-ballester.properati.com.ar/100nc_venta_departamentos_villa-ballester_placard_falugue-propiedades
house,Argentina,Bs.As. G.B.A. Zona Sur,-34.8169739878,-58.3852319229,65000.0,146.0,,,,http://burzaco.properati.com.ar/fzan_venta_casa_burzaco
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.4025013557,-58.6935031414,320000.0,178.0,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/11put_venta_casa_tigre_suite_jardin_lavadero_parrilla_toilette_vestidor_garage_losa-radiante_bustamante-propiedades_be7
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.444193,-58.729718,270000.0,235.0,,4.0,,http://barrio-privado-villa-olivos.properati.com.ar/10xyz_venta_casa_escobar_lavadero_parrilla_piscina_quincho_lujoso_dependencias_re-max-uno-iii
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.5004664,-58.4971754,155000.0,69.0,,,,http://la-lucila.properati.com.ar/zrls_venta_departamentos_la-lucila_diaz-velez_1500_parrilla_terraza_luminoso_palomino-propiedades-paula
apartment,Argentina,Bs.As. G.B.A. Zona Sur,-34.6604304,-58.3630051,92000.0,50.0,1.0,2.0,,http://avellaneda.properati.com.ar/ixi5_venta_departamento_avellaneda_25-de-mayo_200
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.5312335,-58.5561517,142000.0,134.0,,,,http://san-martin.properati.com.ar/wllm_venta_casa_san-martin_zola-emilio_5000
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.4537483809,-58.6848793762,170000.0,120.0,,6.0,,http://ricardo-rojas.properati.com.ar/os47_venta_casa_ricardo-rojas
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.4756309,-58.490412,5300000.0,400.0,,,,http://acassuso.properati.com.ar/zyvz_venta_casa_acassuso_doctor-eduardo-madero_1100_suite_hidromasaje_lavadero_vestidor_vista_dependencias_hussek-martinez
apartment,Argentina,Capital Federal,-34.6034659,-58.4159718,125000.0,74.0,,4.0,,http://almagro.properati.com.ar/10b76_venta_departamentos_almagro_luminoso_migliorisi-propiedades_cy2
house,Argentina,Capital Federal,-34.5487241532,-58.4491588719,495000.0,205.0,,,,http://nunez.properati.com.ar/11ghp_venta_casa_nunez_balcon_suite_quincho_terraza_toilette_luminoso_dependencias_garage_victorino-de-la-plaza_d03
house,Argentina,Bs.As. G.B.A. Zona Sur,-34.8704824,-58.410712,300000.0,0.0,,,,http://longchamps.properati.com.ar/rkcm_venta_casa_longchamps
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.5018292,-58.5314384,235000.0,226.0,,,,http://martinez.properati.com.ar/x66r_venta_casa_martinez_monsenor-larumbe_2800
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.4667925996,-58.7031644583,530000.0,455.0,,3.0,5000.0,http://olivos-golf-club.properati.com.ar/z3tz_venta_casa_olivos-golf-club_suite_jardin_parrilla_piscina_toilette_vestidor_luminoso_vista_dependencias_izrastzoff-agentes-inmobiliarios
apartment,Argentina,Capital Federal,-34.6136992,-58.3897597,120000.0,60.0,12.0,2.0,850.0,http://congreso.properati.com.ar/y2s7_venta_departamentos_congreso_balcon_lavadero_terraza_luminoso_placard_buyma-propiedades
apartment,Argentina,Capital Federal,-34.5475074,-58.4842066,145000.0,52.0,,2.0,,http://saavedra.properati.com.ar/102lz_venta_departamentos_saavedra_balcon_baulera_jardin_parrilla_piscina_terraza_toilette_vestidor_garage_placard_aire-acondicionado_desarrollista-com
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.4072791,-58.6602101,1290000.0,430.0,,5.0,6000.0,http://nordelta.properati.com.ar/xl5s_venta_casa_barrio-la-isla_suite_lavadero_piscina_terraza_toilette_vestidor_vista_dependencias_garage_impecable_losa-radiante
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.5326716,-58.4765181,170000.0,105.0,,3.0,,http://vicente-lopez.properati.com.ar/rpnn_venta_departamentos_vicente-lopez
apartment,Argentina,Capital Federal,-34.6087015,-58.4039197,95000.0,57.0,,2.0,1230.0,http://balvanera.properati.com.ar/1049g_venta_departamentos_balvanera_lavadero_patio_placard_goldstein-propiedades-srl_9yp
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4041476268,-58.6482814567,205000.0,68.0,,2.0,2500.0,http://nordelta.properati.com.ar/z3pn_venta_departamentos_nordelta_gimnasio_lavadero_piscina_garage_izrastzoff-agentes-inmobiliarios
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.368466,-58.779524,340000.0,20.0,,5.0,,http://belen-de-escobar.properati.com.ar/11xzu_venta_casa_belen-de-escobar_suite_gimnasio_hidromasaje_lavadero_parrilla_piscina_vestidor_luminoso_tenis_impecable_re-max-lagos
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.4799299,-58.5690301,1300000.0,301.0,,6.0,,http://beccar.properati.com.ar/xlb2_venta_casa_beccar_suite_jardin_lavadero_piscina_vista_dependencias_garage_tenis_doble-circulacion
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4453924,-58.5510634,106633.0,55.0,1.0,,,http://san-fernando-bs-as-g-b-a-zona-norte.properati.com.ar/10xhp_venta_departamentos_san-fernando_constitucion_1800_baulera_garage_achaval-toribio-acassuso
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.469357,-58.519285,129500.0,46.0,1.0,2.0,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/y75m_venta_departamentos_san-isidro_balcon_lavadero_parrilla_piscina_garage_acassuso
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4887628,-58.5010475,154000.0,59.0,2.0,,,http://martinez.properati.com.ar/11hqi_venta_departamentos_martinez_rodriguez-pena_0_patio_vista_garage_placard_mariano-meyer-propiedades-csi-5637
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.4011485249,-58.7132901238,120000.0,172.0,,5.0,,http://benavidez.properati.com.ar/gj5f_venta_casa_benavidez
apartment,Argentina,Capital Federal,-34.5975665,-58.4410115,155000.0,55.0,,2.0,,http://villa-crespo.properati.com.ar/10b1o_venta_departamentos_villa-crespo_balcon_terraza_toilette_vestidor_migliorisi-propiedades_cy0
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.62611,-58.835027,65440.72,100.0,,4.0,,http://moreno.properati.com.ar/zlgx_venta_casa_moreno_suite_lavadero_patio_vestidor_dependencias_garage_re-max-parque-ii
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.5117049,-58.4798374,1150000.0,600.0,,5.0,,http://olivos.properati.com.ar/114cq_venta_casa_olivos_suite_jardin_piscina_vestidor_vista_dependencias_garage_impecable_solimano-dal-pos-inmuebles
apartment,Argentina,Capital Federal,-34.5670929999,-58.4470949374,300000.0,90.0,,,,http://belgrano.properati.com.ar/10k1c_venta_departamentos_belgrano_balcon_baulera_lavadero_luminoso_garage_roberto-siconolfi-propiedes
apartment,Argentina,Capital Federal,-34.645401,-58.4931185,95000.0,44.0,,2.0,,http://parque-avellaneda.properati.com.ar/oda7_venta_departamentos_parque-avellaneda_bruix-av-_4800
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4175825,-58.6931569,225000.0,65.0,,,,http://bs-as-g-b-a-zona-norte.properati.com.ar/xkrt_venta_departamentos_bs-as-g-b-a-zona-norte_las-heras_2100_balcon_gimnasio_jardin_lavadero_parrilla_piscina_sum_terraza_sauna_garage_aire-acondicionado_estrenar
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4748244,-58.5117854,135000.0,63.0,,,,http://acassuso.properati.com.ar/vg98_venta_departamentos_acassuso_avenida-santa-fe_100
house,Argentina,Capital Federal,-34.6374837,-58.4601452,239000.0,144.0,,,,http://flores.properati.com.ar/12pgl_venta_casa_flores_hidromasaje_lavadero_patio_toilette_lujoso_aire-acondicionado_subte-linea-e_subte-premetro_mil-uno-propiedades
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.5304866,-58.7209091,140000.0,130.0,,,,http://bs-as-g-b-a-zona-norte.properati.com.ar/t56e_venta_casa_bs-as-g-b-a-zona-norte_serrano_2700
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.7033060057,-58.5764622688,120000.0,138.0,,,,http://isidro-casanova.properati.com.ar/ei6c_venta_casa_isidro-casanova
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.670135046,-58.5743808746,105000.0,130.0,,3.0,,http://la-matanza.properati.com.ar/924y_venta_casa_la-matanza
