region,locality,price_usd,area_m2,floor,rooms,expenses,properati_url,lat,lon
Capital Federal,Belgrano,249000.0,83.0,,,6000.0,http://belgrano.properati.com.ar/12vco_venta_departamentos_belgrano_baulera_toilette_vestidor_luminoso_lujoso_dependencias_garage_subte-linea-d_cristian-bau-propiedades_6c7,-34.5674017,-58.4424865
Capital Federal,Villa Urquiza,105000.0,35.0,,2.0,,http://villa-urquiza.properati.com.ar/yseb_venta_departamentos_villa-urquiza_lujoso_dic-propiedades_c80,-34.586582,-58.4710108
Capital Federal,Palermo,165000.0,87.0,,4.0,,http://palermo.properati.com.ar/12opo_venta_departamentos_palermo_balcon_lavadero_luminoso_dependencias_subte-linea-d_fernandez-inmobiliaria,-34.5828157,-58.4219256
Capital Federal,Once,149000.0,80.0,,3.0,1000.0,http://once.properati.com.ar/y1wa_venta_departamentos_once_placard_lexinton-propiedades_937,-34.6116145,-58.4056064
Capital Federal,Recoleta,160000.0,73.0,,3.0,,http://recoleta.properati.com.ar/11m2x_venta_departamentos_recoleta_lavadero_patio_luminoso_aire-acondicionado_re-max-vanguard,-34.592716,-58.403428
Capital Federal,Saavedra,145000.0,52.0,,2.0,,http://saavedra.properati.com.ar/102ly_venta_departamentos_saavedra_balcon_baulera_jardin_parrilla_piscina_terraza_toilette_vestidor_garage_placard_aire-acondicionado_desarrollista-com,-34.5475074,-58.4842066
Capital Federal,Villa Crespo,115000.0,36.0,2.0,1.0,,http://villa-crespo.properati.com.ar/vr2f_venta_departamentos_villa-crespo,-34.597769,-58.42644
Capital Federal,San Cristobal,84000.0,44.0,1.0,2.0,2200.0,http://san-cristobal.properati.com.ar/11w7s_venta_departamentos_san-cristobal_balcon_lavadero_placard_aire-acondicionado_eduardo-bertolotti-propiedades,-34.6207414,-58.4047617
Capital Federal,Boca,85000.0,51.0,,3.0,1500.0,http://boca.properati.com.ar/10t7h_venta_departamentos_boca_balcon_luminoso_garage_di-mitrio-inmobiliaria_d2r,-34.6287756455,-58.3658953037
Capital Federal,San Telmo,120000.0,47.0,1.0,2.0,1700.0,http://san-telmo.properati.com.ar/12j22_venta_departamentos_san-telmo_balcon_parrilla_piscina_sum_amenities_aire-acondicionado_cesars-propiedades,-34.6206226,-58.3684327
Capital Federal,Barrio Norte,200000.0,74.0,,3.0,2000.0,http://barrio-norte.properati.com.ar/xomn_venta_departamentos_barrio-norte_balcon_placard,-34.5910899,-58.4008309
